Index,Style,Text
4300,Heading 2,"CHAPTER 4"
4305,Heading 2,"CHAPTER 5"
4309,Heading 2,"CHAPTER 6"
4321,Heading 2,"CHAPTER 7"
4328,Heading 2,"CHAPTER 8"
4347,Heading 2,"CHAPTER 9"
4352,Heading 2,"CHAPTER 10"
4355,Heading 2,"CHAPTER 11"
4365,Heading 2,"CHAPTER 12"
4379,Heading 2,"CHAPTER 13"
4392,Heading 2,"CHAPTER 14"
4403,Heading 2,"CHAPTER 15"
4415,Heading 2,"CHAPTER 16"
4424,Heading 2,"CHAPTER 17"
4443,Heading 2,"CHAPTER 18"
4467,Heading 2,"CHAPTER 19"
4480,Heading 2,"CHAPTER 20"
4503,Heading 2,"CHAPTER 21"
4517,Heading 2,"CHAPTER 22"
4554,Heading 1,"2 KINGS"
4564,Heading 2,"CHAPTER 1"
4578,Heading 2,"CHAPTER 2"
4591,Heading 2,"CHAPTER 3"
4609,Heading 2,"CHAPTER 4"
4640,Heading 2,"CHAPTER 5"
4656,Heading 2,"CHAPTER 6"
4674,Heading 2,"CHAPTER 7"
4695,Heading 2,"CHAPTER 8"
4710,Heading 2,"CHAPTER 9"
4726,Heading 2,"CHAPTER 10"
4739,Heading 2,"CHAPTER 11"
4757,Heading 2,"CHAPTER 12"
4763,Heading 2,"CHAPTER 13"
4772,Heading 2,"CHAPTER 14"
4783,Heading 2,"CHAPTER 15"
4791,Heading 2,"CHAPTER 16"
4799,Heading 2,"CHAPTER 17"
4814,Heading 2,"CHAPTER 18"
4825,Heading 2,"CHAPTER 19"
4838,Heading 2,"CHAPTER 20"
4854,Heading 2,"CHAPTER 21"
4861,Heading 2,"CHAPTER 22"
4869,Heading 2,"CHAPTER 23"
4881,Heading 2,"CHAPTER 24"
4900,Heading 2,"CHAPTER 25"
4920,Heading 1,"1 CHRONICLES"
4930,Heading 2,"CHAPTER 1"
4942,Heading 2,"CHAPTER 2"
4950,Heading 2,"CHAPTER 3"
4954,Heading 2,"CHAPTER 4"
4961,Heading 2,"CHAPTER 5"
4966,Heading 2,"CHAPTER 6"
4976,Heading 2,"CHAPTER 7"
4985,Heading 2,"CHAPTER 8"
5003,Heading 2,"CHAPTER 9"
5011,Heading 2,"CHAPTER 10"
5015,Heading 2,"CHAPTER 11"
5028,Heading 2,"CHAPTER 12"
5034,Heading 2,"CHAPTER 13"
5039,Heading 2,"CHAPTER 14"
5049,Heading 2,"CHAPTER 15"
5057,Heading 2,"CHAPTER 16"
5074,Heading 2,"CHAPTER 17"
5081,Heading 2,"CHAPTER 18"
5085,Heading 2,"CHAPTER 19"
5091,Heading 2,"CHAPTER 20"
5095,Heading 2,"CHAPTER 21"
5111,Heading 2,"CHAPTER 22"
5117,Heading 2,"CHAPTER 23"
5124,Heading 2,"CHAPTER 24"
5127,Heading 2,"CHAPTER 25"
5130,Heading 2,"CHAPTER 26"
5133,Heading 2,"CHAPTER 27"
5138,Heading 2,"CHAPTER 28"
5144,Heading 2,"CHAPTER 29"
5153,Heading 1,"2 CHRONICLES"
5163,Heading 2,"CHAPTER 1"
5170,Heading 2,"CHAPTER 2"
5178,Heading 2,"CHAPTER 3"
5183,Heading 2,"CHAPTER 4"
5189,Heading 2,"CHAPTER 5"
5193,Heading 2,"CHAPTER 6"
5211,Heading 2,"CHAPTER 7"
5223,Heading 2,"CHAPTER 8"
5232,Heading 2,"CHAPTER 9"
5239,Heading 2,"CHAPTER 10"
5249,Heading 2,"CHAPTER 11"
5258,Heading 2,"CHAPTER 12"
5267,Heading 2,"CHAPTER 13"
5273,Heading 2,"CHAPTER 14"
5278,Heading 2,"CHAPTER 15"
5283,Heading 2,"CHAPTER 16"
5290,Heading 2,"CHAPTER 17"
5292,Heading 2,"CHAPTER 18"
5318,Heading 2,"CHAPTER 19"
5323,Heading 2,"CHAPTER 20"
5336,Heading 2,"CHAPTER 21"
5343,Heading 2,"CHAPTER 22"
5347,Heading 2,"CHAPTER 23"
5355,Heading 2,"CHAPTER 24"
5365,Heading 2,"CHAPTER 25"
5377,Heading 2,"CHAPTER 26"
5383,Heading 2,"CHAPTER 27"
5385,Heading 2,"CHAPTER 28"
5395,Heading 2,"CHAPTER 29"
5402,Heading 2,"CHAPTER 30"
5409,Heading 2,"CHAPTER 31"
5415,Heading 2,"CHAPTER 32"
5426,Heading 2,"CHAPTER 33"
5433,Heading 2,"CHAPTER 34"
5444,Heading 2,"CHAPTER 35"
5453,Heading 2,"CHAPTER 36"
5465,Heading 1,"EZRA"
5475,Heading 2,"CHAPTER 1"
5479,Heading 2,"CHAPTER 2"
5488,Heading 2,"CHAPTER 3"
5492,Heading 2,"CHAPTER 4"
5503,Heading 2,"CHAPTER 5"
5508,Heading 2,"CHAPTER 6"
5515,Heading 2,"CHAPTER 7"
5523,Heading 2,"CHAPTER 8"
5547,Heading 2,"CHAPTER 9"
5555,Heading 2,"CHAPTER 10"
5591,Heading 1,"NEHEMIAH"
5601,Heading 2,"CHAPTER 1"
5606,Heading 2,"CHAPTER 2"
5615,Heading 2,"CHAPTER 3"
5623,Heading 2,"CHAPTER 4"
5633,Heading 2,"CHAPTER 5"
5639,Heading 2,"CHAPTER 6"
5646,Heading 2,"CHAPTER 7"
5709,Heading 2,"CHAPTER 8"
