page	paragraph_idx	kind	prev_snippet
678	24743	SBNP	223營n that day, says the Lord God of Hosts, I will take you
679	24754	SBNP	
686	24981	SBNP	1421燳es, every pot in Jerusalem and in Judah will be holy t
687	24992	SBNP	
689	25053	SBNP	46燞e will turn the hearts of the fathers to the children,
691	25060	SBNP	The Gospel of Jesus Christ
692	25071	SBNP	
720	26172	SBNP	2820爐eaching them to observe all things that I commanded yo
721	26183	SBNP	
738	26879	SBNP	1620燭hey went out, and preached everywhere, the Lord workin
739	26890	SBNP	
767	28067	SBNP	2453燼nd were continually in the temple, praising and blessi
768	28078	SBNP	
790	28980	SBNP	2125燭here are also many other things which Jesus did, which
791	28991	SBNP	
817	30028	SBNP	2831爌reaching God抯 Kingdom, and teaching the things concer
818	30039	SBNP	
829	30490	SBNP	1624燭he grace of our Lord Jesus Christ be with you all! Ame
830	30501	SBNP	
841	30956	SBNP	1624燤y love to all of you in Christ Jesus. Amen.
842	30967	SBNP	
849	31239	SBNP	1314燭he grace of the Lord Jesus Christ, God抯 love, and the
850	31250	SBNP	
854	31407	SBNP	618燭he grace of our Lord Jesus Christ be with your spirit,
855	31418	SBNP	
859	31581	SBNP	624燝race be with all those who love our Lord Jesus Christ w
860	31592	SBNP	
863	31702	SBNP	423燭he grace of the Lord Jesus Christ be with you all. Amen
864	31713	SBNP	
867	31814	SBNP	418燭he salutation of me, Paul, with my own hand: remember m
868	31825	SBNP	
871	31921	SBNP	528燭he grace of our Lord Jesus Christ be with you. Amen.
872	31932	SBNP	
874	31984	SBNP	318燭he grace of our Lord Jesus Christ be with you all. Amen
875	31995	SBNP	
878	32116	SBNP	621爓hich some profess, and thus have wandered from the fait
879	32127	SBNP	
881	32216	SBNP	422燭he Lord Jesus Christ be with your spirit. Grace be with
882	32227	SBNP	
884	32278	SBNP	315燗ll who are with me greet you. Greet those who love us i
885	32289	SBNP	
886	32317	SBNP	125燭he grace of our Lord Jesus Christ be with your spirit.
887	32328	SBNP	
896	32646	SBNP	1325燝race be with you all. Amen.
897	32657	SBNP	
900	32772	SBNP	520爈et him know that he who turns a sinner from the error o
901	32783	SBNP	
904	32895	SBNP	514燝reet one another with a kiss of love. Peace be to all o
905	32906	SBNP	
907	32972	SBNP	318燘ut grow in the grace and knowledge of our Lord and Savi
908	32983	SBNP	
911	33095	SBNP	521燣ittle children, keep yourselves from idols.
912	33106	SBNP	
913	33122	SBNP	113燭he children of your chosen sister greet you. Amen.
914	33133	SBNP	
915	33151	SBNP	115燩eace be to you. The friends greet you. Greet the friend
916	33162	SBNP	
917	33190	SBNP	125爐o God our Savior, who alone is wise, be glory and majes
918	33201	SBNP	
931	33629	SBNP	2221燭he grace of the Lord Jesus Christ be with all the sain
932	33633	SBNP	Bible Concordance
934	33649	SBNP	E-Sword: Free Bible Study for the PC  http://www.e-sword.ne
935	33662	SBNP	* https://bibleimagelibrary.org/ 桞iblica Open Maps CC BY-SA
